,Unnamed: 0,demand,id,dayIndex,is_holiday,is_closed,weekend,wind,clouds,rain,sunshine,weekday_FRI,weekday_MON,weekday_SAT,weekday_SUN,weekday_THU,weekday_TUE,weekday_WED,month_APR,month_AUG,month_DEC,month_FEB,month_JAN,month_JUL,month_JUN,month_MAR,month_MAY,month_NOV,month_OCT,month_SEP,year_2013,year_2014,year_2015,item_calamari,item_chicken,item_fish,item_koefte,item_lamb,item_shrimp,item_steak,label,scalingValue,demand__sum_values_7,demand__median_7,demand__mean_7,demand__standard_deviation_7,demand__variance_7,demand__root_mean_square_7,demand__maximum_7,demand__absolute_maximum_7,demand__minimum_7,demand__sum_values_14,demand__median_14,demand__mean_14,demand__standard_deviation_14,demand__variance_14,demand__root_mean_square_14,demand__maximum_14,demand__absolute_maximum_14,demand__minimum_14,demand__sum_values_28,demand__median_28,demand__mean_28,demand__standard_deviation_28,demand__variance_28,demand__root_mean_square_28,demand__maximum_28,demand__absolute_maximum_28,demand__minimum_28
0,0,0.0,calamari,29.0,1.0,0.0,0.0,2.6,7.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,train,25.0,1.3999999999999997,0.2,0.1999999999999999,0.0523722936566381,0.0027428571428571,0.2067434573157205,0.32,0.32,0.16,3.0800000000000005,0.2,0.22,0.0705083581671603,0.0049714285714285,0.2310225715626691,0.4,0.4,0.12,5.880000000000001,0.2,0.21,0.0804451898588633,0.0064714285714285,0.2248809208701987,0.4,0.4,0.04
1,1,1.0,calamari,30.0,0.0,0.0,1.0,4.4,7.1,0.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,train,25.0,1.1999999999999995,0.16,0.1714285714285714,0.087411763090162,0.0076408163265306,0.1924280941769455,0.32,0.32,0.0,2.8000000000000007,0.2,0.2,0.0881557064030943,0.0077714285714285,0.2185667599874889,0.4,0.4,0.0,5.640000000000001,0.2,0.2014285714285714,0.0891112581357182,0.0079408163265306,0.2202595871109489,0.4,0.4,0.0
2,2,0.12,calamari,31.0,0.0,0.0,1.0,4.8,3.0,0.0,258.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,train,25.0,2.04,0.2,0.2914285714285714,0.3021555215177665,0.0912979591836734,0.4197958687607245,1.0,1.0,0.0,3.4000000000000004,0.2,0.2428571428571428,0.2208887428881197,0.0487918367346938,0.3282855899539737,1.0,1.0,0.0,6.32,0.2,0.2257142857142857,0.1721176626494746,0.0296244897959183,0.2838510675890238,1.0,1.0,0.0
3,3,0.0,calamari,32.0,0.0,0.0,0.0,5.1,7.6,0.1,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,train,25.0,1.8400000000000003,0.16,0.2628571428571429,0.3075114067902562,0.0945632653061224,0.4045456004669224,1.0,1.0,0.0,3.28,0.2,0.2342857142857143,0.2231499907401901,0.0497959183673469,0.3235517181003901,1.0,1.0,0.0,6.2,0.2,0.2214285714285714,0.1731991893274142,0.0299979591836734,0.2811202081469268,1.0,1.0,0.0
4,4,0.08,calamari,33.0,0.0,0.0,0.0,3.5,4.4,0.3,314.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,train,25.0,1.64,0.16,0.2342857142857143,0.3210187864043003,0.1030530612244898,0.3974202525574875,1.0,1.0,0.0,3.08,0.18,0.22,0.2311462122306386,0.0534285714285714,0.3191058937540506,1.0,1.0,0.0,6.04,0.2,0.2157142857142857,0.1777122186374961,0.0315816326530612,0.2794893302333485,1.0,1.0,0.0
5,5,0.28,calamari,34.0,0.0,0.0,0.0,2.8,7.8,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,train,25.0,1.52,0.12,0.2171428571428571,0.3255638750455797,0.1059918367346938,0.3913347124174612,1.0,1.0,0.0,3.04,0.18,0.2171428571428571,0.2326072278519728,0.0541061224489795,0.3182092752531624,1.0,1.0,0.0,5.84,0.2,0.2085714285714285,0.1789994869448809,0.0320408163265306,0.2748506087729426,1.0,1.0,0.0
6,6,0.2,calamari,35.0,0.0,0.0,0.0,4.0,6.8,0.0,82.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,train,25.0,1.64,0.12,0.2342857142857142,0.3252628450458904,0.1057959183673469,0.4008562264524705,1.0,1.0,0.0,3.12,0.18,0.2228571428571428,0.2330980349070987,0.054334693877551,0.322490309931942,1.0,1.0,0.0,5.840000000000001,0.2,0.2085714285714286,0.1789994869448809,0.0320408163265306,0.2748506087729426,1.0,1.0,0.0
7,7,0.28,calamari,36.0,0.0,0.0,0.0,2.2,7.9,3.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,train,25.0,1.6800000000000002,0.12,0.24,0.324257393351111,0.1051428571428571,0.4034140021650923,1.0,1.0,0.0,3.08,0.18,0.22,0.2331155446186657,0.0543428571428571,0.3205352666132966,1.0,1.0,0.0,5.920000000000001,0.2,0.2114285714285714,0.1781996129087162,0.0317551020408163,0.2765088477013762,1.0,1.0,0.0
8,8,0.32,calamari,37.0,0.0,0.0,1.0,3.7,3.2,0.0,151.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,train,25.0,1.96,0.2,0.28,0.3091000762582519,0.0955428571428571,0.4170645719104622,1.0,1.0,0.0,3.160000000000001,0.18,0.2257142857142857,0.2335353838505079,0.054538775510204,0.3247856435954555,1.0,1.0,0.0,6.000000000000001,0.2,0.2142857142857143,0.178634274655321,0.0319102040816326,0.2789777256853518,1.0,1.0,0.0
9,9,0.24,calamari,38.0,0.0,0.0,1.0,3.9,7.7,16.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,train,25.0,1.28,0.2,0.1828571428571428,0.1108041110266589,0.0122775510204081,0.2138089935299395,0.32,0.32,0.0,3.3200000000000007,0.2,0.2371428571428571,0.2339544696678202,0.054734693877551,0.3331237436320452,1.0,1.0,0.0,6.120000000000001,0.2,0.2185714285714286,0.1796765801917093,0.0322836734693877,0.2829437096970753,1.0,1.0,0.0
